STATUS | wrapper  | 2016/12/22 16:34:25 | <-- Wrapper Stopped
ERROR  | wrapperm | 2016/12/22 16:34:57 | Unable to install the Order print service service - The specified service already exists. (0x431)
STATUS | wrapperm | 2016/12/22 16:35:31 | Order print service service removed.
ERROR  | wrapperm | 2016/12/22 16:35:33 | The Order print service service is not installed - The specified service does not exist as an installed service. (0x424)
STATUS | wrapperm | 2016/12/22 16:35:39 | Order print service service installed.
STATUS | wrapper  | 2016/12/22 16:35:39 | --> Wrapper Started as Service
STATUS | wrapper  | 2016/12/22 16:35:39 | Java Service Wrapper Community Edition 32-bit 3.5.30
STATUS | wrapper  | 2016/12/22 16:35:39 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/12/22 16:35:39 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/12/22 16:35:39 | 
WARN   | wrapper  | 2016/12/22 16:35:39 | ---------------------------------------------------------------------
WARN   | wrapper  | 2016/12/22 16:35:39 | The JVM is being launched with a debugger enabled and could possibly
WARN   | wrapper  | 2016/12/22 16:35:39 | be suspended.  To avoid unwanted shutdowns, timeouts will be
WARN   | wrapper  | 2016/12/22 16:35:39 | disabled, removing the ability to detect and restart frozen JVMs.
WARN   | wrapper  | 2016/12/22 16:35:39 | ---------------------------------------------------------------------
STATUS | wrapper  | 2016/12/22 16:35:39 | Launching a JVM...
INFO   | jvm 1    | 2016/12/22 16:35:40 | Listening for transport dt_socket at address: 8001
